cca3,year,annual_mean_temp_c,valid_months,annual_mean_uncertainty_c
MEX,1994,21.325750000000003,12,0.2145
MEX,1995,21.370666666666665,12,0.19225
MEX,1996,21.132166666666667,12,0.21275
MEX,1997,20.898583333333335,12,0.1970833333333333
MEX,1998,21.531750000000002,12,0.17825
MEX,1999,21.1285,12,0.22875
MEX,2000,21.232083333333332,12,0.23083333333333333
MEX,2001,21.133,12,0.24749999999999997
MEX,2002,21.224999999999998,12,0.2376666666666667
MEX,2003,21.329416666666667,12,0.2685
MEX,2004,20.924833333333336,12,0.2085
MEX,2005,21.4135,12,0.19425
MEX,2006,21.418083333333332,12,0.23666666666666666
MEX,2007,21.079333333333334,12,0.206
MEX,2008,21.08525,12,0.19949999999999998
MEX,2009,21.546083333333332,12,0.20591666666666666
MKD,1960,11.075249999999999,12,0.33958333333333335
MKD,1961,11.043083333333334,12,0.3449166666666667
MKD,1962,10.816666666666665,12,0.4036666666666667
MKD,1963,10.73375,12,0.3745833333333333
MKD,1964,10.229833333333334,12,0.38425
MKD,1965,10.136166666666666,12,0.41783333333333333
MKD,1966,11.183833333333332,12,0.371
MKD,1967,10.368666666666668,12,0.4225833333333333
MKD,1968,10.766416666666666,12,0.36141666666666666
MKD,1969,10.532,12,0.40625
MKD,1970,10.687166666666668,12,0.45175000000000004
MKD,1971,10.283500000000002,12,0.33433333333333337
MKD,1972,10.45025,12,0.4093333333333333
MKD,1973,10.057333333333334,12,0.3495
MKD,1974,10.367416666666667,12,0.38258333333333333
MKD,1975,10.379166666666666,12,0.3443333333333333
MKD,1976,9.745916666666666,12,0.3625
MKD,1977,11.130333333333333,12,0.32158333333333333
MKD,1978,10.092833333333333,12,0.31083333333333335
MKD,1979,10.810333333333332,12,0.32841666666666663
MKD,1980,9.991583333333333,12,0.28783333333333333
MKD,1981,10.33475,12,0.30083333333333334
MKD,1982,10.560250000000002,12,0.298
MKD,1983,10.266250000000001,12,0.34791666666666665
MKD,1984,10.444083333333333,12,0.29308333333333336
MKD,1985,10.580666666666668,12,0.32558333333333334
MKD,1986,10.667583333333333,12,0.3189166666666667
MKD,1987,10.754083333333334,12,0.3189166666666667
MKD,1988,10.741583333333333,12,0.31583333333333335
MKD,1989,10.59025,12,0.38200000000000006
MKD,1990,11.29775,12,0.35125
MKD,1991,9.984416666666668,12,0.3455
MKD,1992,10.843333333333334,12,0.32475
MKD,1993,10.915166666666666,12,0.3416666666666666
MKD,1994,12.036583333333333,12,0.34541666666666665
MKD,1995,10.571250000000001,12,0.33433333333333337
MKD,1996,10.506916666666667,12,0.28741666666666665
MKD,1997,10.460166666666666,12,0.3216666666666667
MKD,1998,10.997583333333333,12,0.32591666666666663
MKD,1999,11.406833333333333,12,0.326
MKD,2000,11.582,12,0.33758333333333335
MKD,2001,11.4705,12,0.28691666666666665
MKD,2002,11.281083333333333,12,0.29275
MKD,2003,11.207666666666666,12,0.29791666666666666
MKD,2004,11.058583333333333,12,0.27841666666666665
MKD,2005,10.55,12,0.26391666666666663
MKD,2006,10.752583333333334,12,0.34850000000000003
MKD,2007,11.90575,12,0.27891666666666665
MKD,2008,11.924083333333334,12,0.2806666666666667
MKD,2009,11.643833333333333,12,0.3056666666666667
MLI,1960,28.47375,12,0.2980833333333333
MLI,1961,28.329250000000002,12,0.38891666666666663
MLI,1962,28.40425,12,0.44725
MLI,1963,28.689083333333333,12,0.31766666666666665
MLI,1964,28.441666666666666,12,0.39433333333333337
MLI,1965,28.189083333333333,12,0.4274166666666666
MLI,1966,28.754333333333335,12,0.44783333333333336
MLI,1967,28.202833333333334,12,0.39366666666666666
MLI,1968,28.53991666666667,12,0.33241666666666664
MLI,1969,29.15591666666667,12,0.38875
MLI,1970,28.893333333333334,12,0.35958333333333337
MLI,1971,28.506416666666667,12,0.29050000000000004
MLI,1972,28.557666666666666,12,0.2755
MLI,1973,28.801916666666667,12,0.3110833333333333
MLI,1974,28.085250000000002,12,0.27375
MLI,1975,28.170333333333335,12,0.30441666666666667
MLI,1976,27.869,12,0.3319166666666667
MLI,1977,28.81975,12,0.3403333333333334
MLI,1978,28.874166666666667,12,0.30833333333333335
MLI,1979,28.96241666666667,12,0.32641666666666663
MLI,1980,29.141416666666668,12,0.3125
MLI,1981,28.91208333333333,12,0.31716666666666665
MLI,1982,28.439666666666668,12,0.4033333333333333
MLI,1983,29.276666666666667,12,0.39608333333333334
MLI,1984,28.85766666666667,12,0.36508333333333337
MLI,1985,28.793583333333334,12,0.3819166666666667
MLI,1986,28.519000000000002,12,0.305
MLI,1987,29.637833333333333,12,0.31666666666666665
MLI,1988,28.780666666666665,12,0.35175
MLI,1989,28.77316666666667,12,0.32608333333333334
MLI,1990,29.321083333333334,12,0.4030833333333333
MLI,1991,28.855833333333333,12,0.45058333333333334
MLI,1992,28.56616666666667,12,0.37866666666666665
MLI,1993,28.9665,12,0.36000000000000004
MLI,1994,28.37625,12,0.3795
MLI,1995,28.904,12,0.3006666666666667
MLI,1996,29.252583333333334,12,0.36508333333333337
MLI,1997,29.133916666666668,12,0.429
MLI,1998,29.493083333333335,12,0.3879166666666667
MLI,1999,28.792583333333337,12,0.40225
MLI,2000,29.150333333333336,12,0.3174166666666667
MLI,2001,29.310833333333335,12,0.6294166666666666
MLI,2002,29.4265,12,0.39725000000000005
MLI,2003,29.429000000000002,12,0.4635833333333333
MLI,2004,29.426000000000002,12,0.6417499999999999
MLI,2005,29.52625,12,0.6305833333333334
MLI,2006,29.037916666666664,12,0.6645833333333333
MLI,2007,29.202166666666667,12,0.5021666666666667
MLI,2008,28.949916666666667,12,0.49700000000000005
MLI,2009,29.440916666666666,12,0.40358333333333335
MLT,1960,19.0835,12,0.4003333333333334
MLT,1961,18.919583333333332,12,0.3914166666666667
MLT,1962,18.701833333333333,12,0.405
MLT,1963,18.614083333333333,12,0.37725000000000003
MLT,1964,18.503416666666666,12,0.40650000000000003
MLT,1965,18.365166666666667,12,0.4141666666666666
MLT,1966,18.611083333333333,12,0.4018333333333333
MLT,1967,18.61491666666667,12,0.3719166666666667
MLT,1968,18.689416666666666,12,0.4524166666666667
MLT,1969,18.312583333333333,12,0.4251666666666667
MLT,1970,18.594,12,0.4250833333333333
MLT,1971,18.210333333333335,12,0.516
MLT,1972,18.328,12,0.3645833333333333
MLT,1973,18.53708333333333,12,0.36341666666666667
MLT,1974,18.322166666666668,12,0.3770833333333334
MLT,1975,18.454083333333333,12,0.41808333333333336
MLT,1976,17.947750000000003,12,0.30683333333333335
MLT,1977,18.9385,12,0.33549999999999996
MLT,1978,18.1975,12,0.29283333333333333
MLT,1979,18.675416666666667,12,0.30375
MLT,1980,17.970916666666668,12,0.33066666666666666
MLT,1981,18.417083333333334,12,0.34991666666666665
MLT,1982,19.080916666666667,12,0.38158333333333333
MLT,1983,18.586583333333333,12,0.38825
MLT,1984,18.338583333333332,12,0.33949999999999997
MLT,1985,18.967833333333335,12,0.34925
MLT,1986,18.780833333333334,12,0.33183333333333337
MLT,1987,19.119916666666665,12,0.36375
MLT,1988,19.35725,12,0.36466666666666664
MLT,1989,18.969416666666667,12,0.3854166666666667
MLT,1990,19.56175,12,0.3259166666666667
MLT,1991,18.590083333333336,12,0.38366666666666666
MLT,1992,18.832083333333333,12,0.39399999999999996
MLT,1993,19.05125,12,0.318
MLT,1994,19.837666666666667,12,0.3239166666666667
MLT,1995,19.07275,12,0.40258333333333335
MLT,1996,18.962416666666666,12,0.31975000000000003
MLT,1997,19.396666666666665,12,0.3805
MLT,1998,19.311083333333332,12,0.34558333333333335
MLT,1999,19.842,12,0.3089166666666667
MLT,2000,19.609166666666667,12,0.32866666666666666
MLT,2001,19.909666666666666,12,0.3174166666666666
MLT,2002,19.551833333333335,12,0.3005
MLT,2003,19.756583333333335,12,0.35883333333333334
MLT,2004,19.171166666666668,12,0.39399999999999996
MLT,2005,18.875083333333333,12,0.38599999999999995
MLT,2006,19.601333333333333,12,0.4323333333333334
MLT,2007,19.749916666666667,12,0.3518333333333333
MLT,2008,19.818166666666666,12,0.3914166666666667
MLT,2009,19.579250000000002,12,0.38808333333333334
MMR,1960,24.383083333333335,12,0.29125
MMR,1961,24.017916666666668,12,0.2589166666666667
MMR,1962,23.953166666666664,12,0.36141666666666666
MMR,1963,23.857833333333332,12,0.27575
MMR,1964,24.054000000000002,12,0.29283333333333333
MMR,1965,23.837,12,0.30491666666666667
MMR,1966,24.3955,12,0.29091666666666666
MMR,1967,23.80716666666667,12,0.33216666666666667
MMR,1968,23.860249999999997,12,0.3193333333333333
MMR,1969,24.135499999999997,12,0.26925
MMR,1970,23.986083333333337,12,0.245
MMR,1971,23.515083333333333,12,0.2574166666666667
MMR,1972,24.124166666666667,12,0.31133333333333335
MMR,1973,24.131583333333335,12,0.3433333333333333
MMR,1974,23.8545,12,0.30533333333333335
MMR,1975,23.968083333333336,12,0.3910833333333333
MMR,1976,23.767166666666668,12,0.36375
MMR,1977,23.877166666666668,12,0.28141666666666665
MMR,1978,24.037666666666667,12,0.2545
MMR,1979,24.515666666666664,12,0.26208333333333333
MMR,1980,24.319666666666667,12,0.23975000000000002
MMR,1981,24.078000000000003,12,0.2738333333333333
MMR,1982,23.93041666666667,12,0.35325
MMR,1983,23.975583333333333,12,0.2784166666666667
MMR,1984,24.051083333333334,12,0.3451666666666667
MMR,1985,23.986500000000003,12,0.28891666666666665
MMR,1986,24.018416666666667,12,0.28391666666666665
MMR,1987,24.351250000000004,12,0.24775
MMR,1988,24.373333333333335,12,0.23683333333333334
MMR,1989,24.082916666666666,12,0.3784166666666667
MMR,1990,24.062583333333336,12,0.3473333333333333
MMR,1991,24.14375,12,0.21966666666666668
MMR,1992,23.637,12,0.2333333333333333
MMR,1993,23.856916666666667,12,0.22175
MMR,1994,24.143333333333334,12,0.25958333333333333
MMR,1995,24.25525,12,0.23566666666666666
MMR,1996,24.108333333333334,12,0.24491666666666667
MMR,1997,23.870583333333332,12,0.24266666666666667
MMR,1998,24.78125,12,0.24625
