country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Palau,PLW,1990,15293,33.31808278867102,24.82043747959517,27.617825,0.2091868686868701,0.095857687531492,0.38792499999999996,459,Oceania,Medium
Papua New Guinea,PNG,1970,2489059,5.377795782559848,,24.43475,0.13795959595959725,0.18607132536197038,0.3046916666666667,462840,Oceania,Low
Papua New Guinea,PNG,1980,3104788,6.708123757670037,24.737420848601822,24.592066666666664,0.02056565656565888,0.1742370794842209,0.3375833333333333,462840,Oceania,Low
Papua New Guinea,PNG,1990,3864972,8.350557428052891,24.48424819987709,24.845341666666666,0.3185404040404052,0.14644708891048494,0.2922083333333333,462840,Oceania,Medium
Poland,POL,1970,32482943,103.88591174974974,,7.5118583333333335,-0.24387373737373705,0.7899301917733276,0.366225,312679,Europe,Medium
Poland,POL,1980,35521429,113.60350071479057,9.354097010237039,7.735666666666665,-0.1161313131313129,0.6621495578792044,0.30445833333333333,312679,Europe,High
Poland,POL,1990,38064255,121.73588568467981,7.158568986624947,7.8297333333333325,0.7865959595959586,0.933450046855113,0.27405,312679,Europe,Low
Puerto Rico,PRI,1970,2737619,308.6379932356257,,25.691150000000004,-0.3254747474747458,0.23754994410572172,0.2515166666666667,8870,North America,High
Puerto Rico,PRI,1980,3214568,362.40901916572716,17.422037179023086,25.5614,0.2134949494949473,0.21140403744992756,0.23521666666666663,8870,North America,Low
Puerto Rico,PRI,1990,3543776,399.5237880496054,10.241127268111928,25.908591666666666,-0.32477272727272843,0.261349992329176,0.22135833333333332,8870,North America,High
North Korea,PRK,1970,14996879,124.41619240405515,,6.9169166666666655,-1.117969696969697,0.2971362236578573,0.2952166666666666,120538,Asia,High
North Korea,PRK,1980,17973650,149.1118983225207,19.849269971438723,7.065391666666668,0.8928838383838389,0.35844337252820024,0.25224166666666664,120538,Asia,High
North Korea,PRK,1990,20799523,172.55573346164695,15.722310159594732,7.0653999999999995,1.0188181818181805,0.4794947666335438,0.24427500000000002,120538,Asia,High
Portugal,PRT,1970,8683631,94.29504832229341,,14.895075,-0.5777727272727283,0.3011276819492675,0.29320833333333335,92090,Europe,High
Portugal,PRT,1980,9785252,106.25748724074275,12.686179318305912,14.514675,0.4457222222222221,0.24748329369562788,0.27750833333333336,92090,Europe,High
Portugal,PRT,1990,10007346,108.66919318058422,2.2696809443435884,15.173458333333333,0.631025252525253,0.39572048257241826,0.2676833333333334,92090,Europe,High
